,DOW,HH,TRIPS
0,0,0,612351
1,0,1,527422
2,0,2,400344
3,0,3,298880
4,0,4,188207
5,0,5,94989
6,0,6,118557
7,0,7,177124
8,0,8,273154
9,0,9,399341
10,0,10,529356
11,0,11,599989
12,0,12,655107
13,0,13,669582
14,0,14,678562
15,0,15,659542
16,0,16,649387
17,0,17,673176
18,0,18,669071
19,0,19,580161
20,0,20,525332
21,0,21,487436
22,0,22,424565
23,0,23,308691
24,1,0,197350
25,1,1,114247
26,1,2,72792
27,1,3,52267
28,1,4,66035
29,1,5,124928
30,1,6,306773
31,1,7,521220
32,1,8,644569
33,1,9,619896
34,1,10,585132
35,1,11,594753
36,1,12,623008
37,1,13,631212
38,1,14,688600
39,1,15,708389
40,1,16,678089
41,1,17,764141
42,1,18,833570
43,1,19,750362
44,1,20,682714
45,1,21,647177
46,1,22,531377
47,1,23,356973
48,2,0,229299
49,2,1,132931
50,2,2,80557
51,2,3,56528
52,2,4,64115
53,2,5,128709
54,2,6,328848
55,2,7,593014
56,2,8,717619
57,2,9,685379
58,2,10,645993
59,2,11,649698
60,2,12,683291
61,2,13,681730
62,2,14,729908
63,2,15,743482
64,2,16,699783
65,2,17,804108
66,2,18,907095
67,2,19,831570
68,2,20,789117
69,2,21,789991
70,2,22,676364
71,2,23,453258
72,3,0,267430
73,3,1,145106
74,3,2,84589
75,3,3,57238
76,3,4,63328
77,3,5,128377
78,3,6,331629
79,3,7,603522
80,3,8,738730
81,3,9,704001
82,3,10,664060
83,3,11,678894
84,3,12,711253
85,3,13,710693
86,3,14,754244
87,3,15,757753
88,3,16,706660
89,3,17,811925
90,3,18,917062
91,3,19,865315
92,3,20,816742
93,3,21,817140
94,3,22,736135
95,3,23,517743
96,4,0,312327
97,4,1,177833
98,4,2,104719
99,4,3,69976
100,4,4,71978
101,4,5,132049
102,4,6,337380
103,4,7,611328
104,4,8,745767
105,4,9,708622
106,4,10,667924
107,4,11,677752
108,4,12,707255
109,4,13,708629
110,4,14,764540
111,4,15,773454
112,4,16,716903
113,4,17,825968
114,4,18,928301
115,4,19,892674
116,4,20,846808
117,4,21,852406
118,4,22,791430
119,4,23,629340
120,5,0,425936
121,5,1,264292
122,5,2,161752
123,5,3,105159
124,5,4,94642
125,5,5,135607
126,5,6,318199
127,5,7,562243
128,5,8,700158
129,5,9,674980
130,5,10,643674
131,5,11,661573
132,5,12,690172
133,5,13,693302
134,5,14,754613
135,5,15,759165
136,5,16,710257
137,5,17,817167
138,5,18,917440
139,5,19,896197
140,5,20,758433
141,5,21,747936
142,5,22,764134
143,5,23,711742
144,6,0,600747
145,6,1,479399
146,6,2,371922
147,6,3,260106
148,6,4,167476
149,6,5,95421
150,6,6,142189
151,6,7,223233
152,6,8,339736
153,6,9,480963
154,6,10,576050
155,6,11,641809
156,6,12,695795
157,6,13,711872
158,6,14,698234
159,6,15,720552
160,6,16,705652
161,6,17,755138
162,6,18,796643
163,6,19,792577
164,6,20,665356
165,6,21,661888
166,6,22,712840
167,6,23,704291
