,BOROUGH,YEAR,MONTH,REVENUE_GROSS_USD,TIPS_USD,REVENUE_NET_EX_TIP_USD,TIP_PCT
0,Bronx,2019,1,1974653.36,11882.210000000001,1962771.1500000001,0.6
1,Brooklyn,2019,1,6422650.2,310819.23000000004,6111830.97,4.84
2,EWR,2019,1,42432.490000000005,5436.049999999999,36996.44,12.81
3,Manhattan,2019,1,97907883.22,11327814.979999999,86580068.24,11.57
4,Queens,2019,1,24208302.770000003,2574732.9299999997,21633569.840000004,10.64
5,Staten Island,2019,1,39680.03999999999,608.16,39071.87999999999,1.53
6,Unknown,2019,1,2917725.6200000006,299633.61000000004,2618092.0100000007,10.27
7,,2019,1,281432.1,27329.840000000004,254102.25999999998,9.71
8,Bronx,2019,2,1985282.3200000003,11063.130000000001,1974219.1900000004,0.56
9,Brooklyn,2019,2,6287408.03,302934.27,5984473.76,4.82
10,EWR,2019,2,45346.219999999994,5791.29,39554.92999999999,12.77
11,Manhattan,2019,2,109295571.15,12706290.830000002,96589280.32000001,11.63
12,Queens,2019,2,24061237.890000004,2499790.6399999997,21561447.250000004,10.39
13,Staten Island,2019,2,42731.19,355.0900000000001,42376.100000000006,0.83
14,Unknown,2019,2,1371785.1800000002,149022.59,1222762.59,10.86
15,,2019,2,258046.61000000002,28133.77,229912.84000000003,10.9
16,Bronx,2019,3,2049312.6800000002,13549.82,2035762.86,0.66
17,Brooklyn,2019,3,6673637.54,349832.5,6323805.04,5.24
18,EWR,2019,3,61972.219999999994,7417.519999999999,54554.7,11.97
19,Manhattan,2019,3,125502937.15999998,14537679.779999997,110965257.37999998,11.58
20,Queens,2019,3,28155637.019999992,2962587.2500000005,25193049.769999992,10.52
21,Staten Island,2019,3,37932.87,629.0799999999999,37303.79,1.66
22,Unknown,2019,3,1067914.33,125892.17,942022.16,11.79
23,,2019,3,339102.68,35533.549999999996,303569.13,10.48
24,Bronx,2019,4,1672880.4399999997,15612.46,1657267.9799999997,0.93
25,Brooklyn,2019,4,5831224.68,343836.56,5487388.12,5.9
26,EWR,2019,4,61788.64000000001,7431.7,54356.94000000001,12.03
27,Manhattan,2019,4,119006999.77000003,13677302.06,105329697.71000002,11.49
28,Queens,2019,4,27186411.71,2754974.19,24431437.52,10.13
29,Staten Island,2019,4,32287.600000000002,1007.8,31279.800000000003,3.12
30,Unknown,2019,4,1408117.1,162157.52000000002,1245959.58,11.52
31,,2019,4,347005.94000000006,37009.17999999999,309996.76000000007,10.67
32,Bronx,2019,5,1458424.02,17621.73,1440802.29,1.21
33,Brooklyn,2019,5,5455265.31,343250.13,5112015.18,6.29
34,EWR,2019,5,70800.71000000002,8461.01,62339.70000000002,11.95
35,Manhattan,2019,5,122543708.24000002,14164529.459999999,108379178.78000003,11.56
36,Queens,2019,5,28083813.730000004,2912610.4299999992,25171203.300000004,10.37
37,Staten Island,2019,5,39451.36,1139.5800000000002,38311.78,2.89
38,Unknown,2019,5,1354571.7499999998,160601.87999999998,1193969.8699999999,11.86
39,,2019,5,368952.1699999999,37631.69,331320.4799999999,10.2
40,Bronx,2019,6,1245237.95,16957.44,1228280.51,1.36
41,Brooklyn,2019,6,4936631.29,318490.78,4618140.51,6.45
42,EWR,2019,6,76594.04999999999,9313.630000000001,67280.41999999998,12.16
43,Manhattan,2019,6,112880790.98,12942660.019999998,99938130.96000001,11.47
44,Queens,2019,6,26481768.59,2781942.2500000005,23699826.34,10.51
45,Staten Island,2019,6,35013.770000000004,725.36,34288.41,2.07
46,Unknown,2019,6,1234850.1,143894.9,1090955.2000000002,11.65
47,,2019,6,371635.33999999997,36108.509999999995,335526.82999999996,9.72
48,Bronx,2019,7,1197075.9599999997,14093.930000000002,1182982.0299999998,1.18
49,Brooklyn,2019,7,4410119.73,263256.01000000007,4146863.72,5.97
50,EWR,2019,7,73302.74,8355.880000000001,64946.86,11.4
51,Manhattan,2019,7,100198747.62,11296587.75,88902159.87,11.27
52,Queens,2019,7,24699402.24,2504578.3899999997,22194823.849999998,10.14
53,Staten Island,2019,7,37333.35,700.6,36632.75,1.88
