year,month,service_type,url,has_parquet,http_status,content_length,checked_at,notes
2015,1,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,1,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,2,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,2,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,3,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,3,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,4,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,4,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,5,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,5,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,6,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,6,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,7,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,7,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,8,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,8,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,9,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,9,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,10,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,10,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,11,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,11,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,12,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2015-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2015,12,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2015-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,1,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,1,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,2,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,2,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,3,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,3,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,4,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,4,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,5,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,5,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,6,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,6,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,7,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,7,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,8,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,8,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,9,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,9,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,10,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,10,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,11,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,11,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,12,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2016-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2016,12,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2016-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,1,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,1,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,2,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,2,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,3,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,3,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,4,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,4,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,5,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,5,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,6,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,6,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,7,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,7,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,8,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,8,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,9,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,9,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,10,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,10,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,11,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,11,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,12,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2017-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2017,12,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2017-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,1,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,1,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,2,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,2,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,3,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,3,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,4,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,4,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,5,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,5,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-05.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,6,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,6,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-06.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,7,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,7,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-07.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,8,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,8,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-08.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,9,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,9,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-09.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,10,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,10,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-10.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,11,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,11,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-11.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,12,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2018-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2018,12,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-12.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,1,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,1,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-01.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,2,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,2,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-02.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,3,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,3,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-03.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,4,yellow,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
2019,4,green,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-04.parquet,False,403,919,2025-09-25T00:52:30Z,missing
